ITEM_ID,PRICE (US$)
1,189.00
2,195.00
3,199.00
4,189.00
5,197.00
6,189.00
7,199.00
8,202.00
9,199.00
10,209.00
11,189.00
12,179.00
13,175.00
14,199.00
15,205.00
16,219.00
17,229.00
18,205.00
19,190.00
20,179.00
21,199.00
22,189.00
23,183.00
24,199.00
25,206.00
26,215.00
27,149.00
28,189.00
29,169.00
30,179.00
31,159.00
32,199.00
33,195.00
34,189.00
35,209.00
36,196.00
37,189.00
38,165.00
39,170.00
40,179.00
41,170.00
42,175.00
43,169.00
44,189.00
45,195.00
46,199.00
47,199.00
48,199.00
49,189.00
50,182.00
51,199.00
52,209.00
53,229.00
54,199.00
55,195.00
56,199.00
57,179.00
58,169.00
59,189.00
60,205.00
61,199.00
62,189.00
63,189.00
64,199.00
65,179.00
66,189.00
67,239.00
68,215.00
69,199.00
70,179.00
71,195.00
72,199.00
73,209.00
74,205.00
75,179.00
76,185.00
77,179.00
78,169.00
79,179.00
80,189.00
81,199.00
82,209.00
83,169.00
84,159.00
85,179.00
86,185.00
87,189.00
88,179.00
89,199.00
90,199.00
91,189.00
92,169.00
93,159.00
94,169.00
95,209.00
96,189.00
97,179.00
98,189.00
99,199.00
100,195.00
